iter	Logloss
0	0.6880176748
1	0.6829580136
2	0.6781582938
3	0.6729274051
4	0.6689475059
5	0.6645437844
6	0.6594881132
7	0.653935247
8	0.6490164398
9	0.6447616796
10	0.6403052931
11	0.6355263155
12	0.6312023355
13	0.6262381617
14	0.6224726314
15	0.6182758645
16	0.6141934565
17	0.6099959032
18	0.6060152122
19	0.6013055769
20	0.5975047585
21	0.5949043987
22	0.590967222
23	0.587398209
24	0.5826973397
25	0.578977924
26	0.5750108616
27	0.5705937715
28	0.5663285682
29	0.5626364258
30	0.5593014879
31	0.5549719254
32	0.5509624505
33	0.5490214772
34	0.5457084542
35	0.5422464922
36	0.5397564085
37	0.5378936815
38	0.5348165404
39	0.5316559563
40	0.5279918354
41	0.5252138472
42	0.5226470323
43	0.5198878852
44	0.5167377847
45	0.5135911923
46	0.5106100664
47	0.5069744113
48	0.5040513082
49	0.5007013075
50	0.4980208634
51	0.4952005169
52	0.4914608531
53	0.4894189006
54	0.4871357433
55	0.4846702614
56	0.4815532773
57	0.4782873881
58	0.475041784
59	0.4726998558
60	0.4706547567
61	0.4681944253
62	0.4660185275
63	0.4633066153
64	0.4609061996
65	0.4582914313
66	0.4558690032
67	0.4530637056
68	0.4509233169
69	0.4490383845
70	0.4465536376
71	0.4446198858
72	0.4420242429
73	0.4392713372
74	0.4386809891
75	0.4362722114
76	0.4338436453
77	0.4317073464
78	0.4298076363
79	0.4279965033
80	0.4255601528
81	0.4233915458
82	0.4213077247
83	0.4193060368
84	0.4173105045
85	0.4150275082
86	0.4134922208
87	0.4118574344
88	0.4099575392
89	0.4080681269
90	0.4062567823
91	0.4044357642
92	0.402570968
93	0.4005891773
94	0.3987544814
95	0.3968811197
96	0.3951658637
97	0.3932534629
98	0.3916220398
99	0.3895934485
100	0.3881878473
101	0.3863026692
102	0.3844057207
103	0.3828761743
104	0.3809682454
105	0.3795970383
106	0.3778875062
107	0.3766354183
108	0.3749508611
109	0.373803445
110	0.3726009858
111	0.3707062143
112	0.3690362114
113	0.36736793
114	0.3655704294
115	0.3641329436
116	0.3628340305
117	0.3610912479
118	0.3598291776
119	0.3583860523
120	0.3569201374
121	0.3561822225
122	0.355631701
123	0.3548691038
124	0.3534792782
125	0.352099831
126	0.3514752653
127	0.3503043311
128	0.3487612855
129	0.3473901008
130	0.3460666633
131	0.3448456588
132	0.3439008924
133	0.342852612
134	0.341495045
135	0.3402177695
136	0.3387111777
137	0.3373459292
138	0.336114682
139	0.3350140159
140	0.3345508103
141	0.333389252
142	0.3324812058
143	0.3313700852
144	0.3301517142
145	0.3290525617
146	0.3280258335
147	0.3269234078
148	0.3255222968
149	0.324268678
150	0.3240656729
151	0.3230393796
152	0.3216127313
153	0.3203351479
154	0.3193497682
155	0.3184017125
156	0.3173903009
157	0.3165284158
158	0.3156583273
159	0.3145943147
160	0.3135152578
161	0.312468871
162	0.3111699415
163	0.309831793
164	0.3090644387
165	0.3083389178
166	0.3072734244
167	0.3061543682
168	0.3051868059
169	0.3039172346
170	0.3025986234
171	0.3017082233
172	0.3011036372
173	0.3001678817
174	0.2993990553
175	0.2983982381
176	0.2973506486
177	0.2961695995
178	0.2953894778
179	0.2942647368
180	0.2932001144
181	0.2929317761
182	0.2922265765
183	0.2917734247
184	0.2911336253
185	0.2904600981
186	0.2895638334
187	0.2884426536
188	0.2878097001
189	0.2871815653
190	0.2862363283
191	0.2853202978
192	0.2845814247
193	0.2837956322
194	0.2827326232
195	0.2821043918
196	0.2813110664
197	0.2805635314
198	0.2795712664
199	0.2787331597
200	0.2774924057
201	0.2764395129
202	0.27578527
203	0.2747106392
204	0.2743636048
205	0.2736322032
206	0.2726618117
207	0.2716413007
208	0.2711061487
209	0.2707096827
210	0.2698347023
211	0.268761639
212	0.2684671875
213	0.2678251235
214	0.2671447383
215	0.2661459397
216	0.2653629408
217	0.2647113385
218	0.2642850742
219	0.2634781381
220	0.2626921598
221	0.2620475725
222	0.2616233771
223	0.261224088
224	0.2607704912
225	0.2601697866
226	0.2596246094
227	0.2590640539
228	0.2583797561
229	0.2579661672
230	0.257464831
231	0.2566322483
232	0.2558268782
233	0.2550595192
234	0.2544412088
235	0.2536045181
236	0.2532675266
237	0.2522833443
238	0.2517089699
239	0.2508291446
240	0.2498180204
241	0.249086254
242	0.2485545012
243	0.2478700933
244	0.2469786706
245	0.246309773
246	0.2455707976
247	0.2450324158
248	0.2445901256
249	0.2439185637
250	0.2432496059
251	0.242602413
252	0.2419128802
253	0.2413806787
254	0.2406667828
255	0.2398597213
256	0.2392027115
257	0.2385447228
258	0.2380148522
259	0.2374970586
260	0.2367425928
261	0.2361234994
262	0.2355776435
263	0.234814261
264	0.2341060699
265	0.2333905065
266	0.232785525
267	0.2324671177
268	0.231923975
269	0.2314576377
270	0.2307289098
271	0.2304362529
272	0.229845795
273	0.2295879881
274	0.2291511305
275	0.2286630628
276	0.228051359
277	0.2275087867
278	0.2274541689
279	0.226933174
280	0.2262095973
281	0.2258669416
282	0.2253760769
283	0.2249732834
284	0.2244792699
285	0.2238581271
286	0.2234338356
287	0.2229002334
288	0.2225008421
289	0.2219817319
290	0.2214660445
291	0.2206663284
292	0.2204304573
293	0.2199557275
294	0.219476534
295	0.2188891368
296	0.2183977456
297	0.2179295765
298	0.2173445499
299	0.2168612412
300	0.2163057342
301	0.2160355834
302	0.2155722707
303	0.2151193235
304	0.2143815109
305	0.2138857834
306	0.2133313865
307	0.2129512536
308	0.212309893
309	0.2119088135
310	0.2116538847
311	0.2111427833
312	0.210779917
313	0.2103347944
314	0.2099997663
315	0.2095993287
316	0.2090153957
317	0.2088553981
318	0.2084614038
319	0.2081019066
320	0.2075566031
321	0.2071502746
322	0.2066379406
323	0.2062625464
324	0.2060314488
325	0.2056368345
326	0.2053937077
327	0.2047827924
328	0.2043463529
329	0.2041446542
330	0.2036407791
331	0.2032042091
332	0.2026243413
333	0.2022738739
334	0.2017497877
335	0.2012998076
336	0.2008324087
337	0.2001080129
338	0.1998837536
339	0.199583336
340	0.1990440606
341	0.1986092581
342	0.1982081884
343	0.1976698945
344	0.1971728655
345	0.1967187251
346	0.1963487724
347	0.1959270442
348	0.1955508719
349	0.195055578
350	0.1947009044
351	0.1943359777
352	0.1938196582
353	0.1936395195
354	0.1933674782
355	0.1931336449
356	0.1928846054
357	0.19241031
358	0.1919434274
359	0.1916067126
360	0.1913443552
361	0.1908122169
362	0.1903932884
363	0.1899056803
364	0.1896471797
365	0.1893186374
366	0.1889031294
367	0.1885830089
368	0.1880457288
369	0.1876591609
370	0.1872503408
371	0.1868058432
372	0.1865054978
373	0.1860372313
