iter	Logloss
0	0.6885784912
1	0.6833745121
2	0.6789393605
3	0.6742990232
4	0.6702732586
5	0.6666003083
6	0.6616083587
7	0.6566936001
8	0.6529929241
9	0.6499245832
10	0.6449924901
11	0.6398812994
12	0.6363039694
13	0.6313807005
14	0.6269860568
15	0.6222801295
16	0.6188216117
17	0.614253264
18	0.6100102507
19	0.6060700851
20	0.6033181524
21	0.5995081979
22	0.595614695
23	0.5923205973
24	0.5889211321
25	0.5845812391
26	0.5817819248
27	0.5778921556
28	0.5743396212
29	0.5709756627
30	0.5672307314
31	0.56440762
32	0.56109927
33	0.5577598433
34	0.554256419
35	0.5507966791
36	0.5476304042
37	0.5443178006
38	0.5403730696
39	0.5368065005
40	0.5339231907
41	0.5308712614
42	0.527390551
43	0.5240922774
44	0.5212461219
45	0.5192932608
46	0.516066497
47	0.5134848918
48	0.5110368939
49	0.5084212536
50	0.5057686971
51	0.5038520679
52	0.5007587909
53	0.4984283705
54	0.4960861318
55	0.4928931642
56	0.4903739163
57	0.4883815198
58	0.4857163386
59	0.4841311957
60	0.4813268551
61	0.4789497
62	0.4762504118
63	0.4738329765
64	0.4709865816
65	0.4684168905
66	0.4661822971
67	0.4637579574
68	0.4626471406
69	0.4607892693
70	0.4599043619
71	0.4580705748
72	0.4559432929
73	0.4545109452
74	0.4523031431
75	0.4504561731
76	0.4476329791
77	0.4458467776
78	0.4432003646
79	0.4412830667
80	0.4396245979
81	0.4385260407
82	0.4372922614
83	0.4356193149
84	0.434236407
85	0.4319629057
86	0.4298961866
87	0.428018419
88	0.4255616653
89	0.4230561347
90	0.4223057823
91	0.4205516874
92	0.4192263361
93	0.4177300698
94	0.4159213591
95	0.4143898136
96	0.4130881068
97	0.4108946911
98	0.4092466789
99	0.4070559954
100	0.4057944769
101	0.4040693442
102	0.4027105544
103	0.4009475326
104	0.3991517937
105	0.3979827839
106	0.3964729248
107	0.3948021908
108	0.3935808557
109	0.3918345308
110	0.3915268853
111	0.3898210538
112	0.3883593134
113	0.3867480014
114	0.3849151318
115	0.3830040793
116	0.3818465073
117	0.3805004548
118	0.3794070962
119	0.3777952696
120	0.3761536683
121	0.3740951527
122	0.3724145343
123	0.3706833914
124	0.3692456571
125	0.3675579409
126	0.3662422401
127	0.3649278247
128	0.3636678681
129	0.3622909975
130	0.3611533851
131	0.360253872
132	0.3597421463
133	0.3584279642
134	0.3570184956
135	0.3558439164
136	0.3546661691
137	0.3537837288
138	0.3524963048
139	0.3522506874
140	0.3512448503
141	0.3507631564
142	0.3491471918
143	0.3481521971
144	0.3471382696
145	0.3456331631
146	0.3443599631
147	0.3427812193
148	0.3415988362
149	0.3401895452
150	0.3385341465
151	0.3372723674
152	0.3361964406
153	0.3347963298
154	0.3342009805
155	0.3326535605
156	0.3318354789
157	0.3304218888
158	0.3299635153
159	0.3290627755
160	0.3280541629
161	0.3270287427
162	0.3262577079
163	0.3251298868
164	0.3239969693
165	0.323300596
166	0.3223054835
167	0.3216026312
168	0.3203897476
169	0.3193453726
170	0.3181232274
171	0.3168889715
172	0.3161215912
173	0.3148894874
174	0.3141140441
175	0.3133120189
176	0.3120724432
177	0.3112137211
178	0.3102556157
179	0.309293382
180	0.3084342023
181	0.3075598385
182	0.3069288141
183	0.3061871107
184	0.3053757189
185	0.3047064131
186	0.3036031883
187	0.3034622342
188	0.302403034
189	0.3017780941
190	0.300870308
191	0.300029268
192	0.2992743414
193	0.2987369057
194	0.2979010905
195	0.2971200094
196	0.2959483369
197	0.2949935473
198	0.2941473688
199	0.2936167938
200	0.2932802961
201	0.2922896215
202	0.2915666683
203	0.2903866819
204	0.2894174757
205	0.2886383224
206	0.2877308105
207	0.2869935513
208	0.2860062458
209	0.2855362577
210	0.2851073403
211	0.2842024058
212	0.2833930791
213	0.2830407302
214	0.2822775775
215	0.2814044315
216	0.2806134957
217	0.2795348147
218	0.2787481
